id,mat100,mat103,mat232,mat234,kom101,kom200,jam_belajar,mat431
659,D,E,E,E,E,E,14,D
660,D,D,D,D,C,C,11,C
661,C,D,E,D,E,E,3,E
662,C,D,D,D,D,E,5,D
663,E,C,D,D,E,C,9,D
664,E,E,E,E,D,D,15,D
665,D,C,E,D,E,E,13,D
666,C,E,C,E,D,C,13,C
667,E,C,E,C,D,E,14,D
668,C,E,E,E,D,D,16,D
669,D,E,C,E,E,D,10,D
670,E,C,D,C,E,E,2,D
671,D,D,D,E,C,C,7,D
672,C,D,D,D,E,D,9,D
673,E,E,C,E,E,C,17,C
674,D,C,C,E,E,D,10,D
675,C,C,C,C,E,E,14,C
676,D,C,E,C,C,E,5,D
677,E,C,D,E,E,E,11,D
678,E,E,C,E,C,E,2,D
679,E,E,C,C,E,C,3,D
680,E,D,E,D,E,E,11,D
681,E,C,E,E,C,C,18,D
682,D,E,E,C,D,E,13,D
683,E,E,C,D,C,E,10,D
684,C,E,E,C,E,D,14,D
685,E,E,E,E,D,D,6,E
686,D,D,E,E,E,E,18,D
687,E,D,E,E,D,E,15,D
688,D,E,E,E,C,E,14,D
689,D,C,E,E,D,E,16,D
690,E,E,E,E,E,E,12,E
691,C,C,E,C,E,E,3,D
692,E,C,D,E,E,E,13,D
693,C,C,D,D,D,D,11,D
694,E,E,C,E,E,D,1,D
695,E,C,C,E,E,E,4,D
696,E,C,E,D,D,E,12,D
697,E,D,E,C,D,E,16,D
698,C,E,D,E,D,E,16,D
699,E,E,D,D,C,E,2,D
700,C,D,C,E,D,C,5,D
701,D,E,E,E,D,C,9,D
702,E,D,E,E,E,C,15,D
703,E,E,E,E,E,E,8,E
704,D,E,E,E,E,D,1,E
705,D,D,E,E,E,C,3,E
706,D,C,C,D,C,E,3,D
707,D,E,C,C,E,E,15,C
708,E,C,D,D,E,E,1,E
709,C,E,D,E,D,E,18,D
710,E,E,D,E,D,E,8,D
711,E,E,E,E,C,C,5,D
712,E,E,E,C,E,E,15,D
713,C,E,C,C,C,D,12,C
714,C,E,E,C,E,C,1,D
715,E,E,E,E,C,C,2,E
716,C,D,C,C,D,C,1,D
717,E,C,E,E,C,E,4,E
718,D,E,C,E,C,D,14,C
719,E,E,C,E,E,D,6,D
720,D,E,E,C,C,E,14,D
721,D,E,E,D,D,E,2,E
722,D,E,D,C,D,C,14,C
723,C,E,C,E,C,E,9,D
724,E,E,D,E,D,E,2,E
725,E,D,E,E,D,E,2,E
726,C,E,E,D,C,D,14,D
727,E,E,C,C,E,C,1,D
728,D,E,C,E,E,E,9,D
729,C,C,C,E,D,D,6,D
730,D,E,D,E,C,D,12,D
731,E,E,D,E,E,E,12,D
732,D,E,E,E,C,E,18,D
733,E,E,D,C,E,E,4,D
734,D,C,E,E,D,E,3,E
735,C,E,E,E,D,E,3,E
736,D,E,E,E,E,D,9,E
737,E,D,D,E,E,C,5,D
738,D,D,E,E,D,D,8,D
739,D,C,C,E,D,C,2,D
740,D,E,C,E,C,C,3,D
741,C,D,E,E,D,E,10,D
742,E,C,E,D,C,D,8,D
743,C,C,D,C,C,D,8,C
744,C,E,C,E,D,E,1,D
745,E,E,E,E,E,C,4,E
746,D,D,E,E,E,D,14,D
747,E,C,C,E,C,D,5,D
748,D,E,E,C,C,E,16,D
749,E,D,E,C,C,E,18,D
750,C,E,E,C,D,C,15,C
751,E,E,C,E,E,C,5,D
752,E,E,C,E,E,E,11,D
753,E,E,E,E,C,E,1,E
754,E,E,C,E,C,C,5,D
755,E,C,E,E,E,E,14,D
756,E,E,E,C,E,D,4,E
757,C,E,D,D,E,C,18,C
758,D,C,E,E,D,C,2,E
759,D,D,C,C,D,E,3,D
760,E,D,C,D,E,E,2,D
761,E,D,D,D,C,E,4,D
762,C,E,E,D,E,E,9,D
763,E,E,D,E,D,D,10,D
764,C,E,C,D,D,E,5,D
765,C,E,E,E,D,E,8,E
766,E,C,D,E,E,E,15,D
767,C,E,E,E,C,D,10,D
768,E,C,E,E,E,E,8,E
769,E,E,C,E,E,C,7,D
770,C,E,E,E,E,E,6,E
771,E,E,D,E,E,E,17,D
772,D,E,D,E,D,C,16,C
773,E,D,C,E,D,C,15,C
774,C,C,E,C,E,C,4,D
775,C,D,E,E,C,C,18,C
776,D,D,E,C,C,E,8,D
777,C,E,E,E,E,D,4,E
778,C,E,E,C,E,E,3,E
779,E,E,E,D,E,E,14,D
780,C,E,E,E,E,E,1,E
781,D,D,E,D,D,C,11,D
782,C,E,D,D,D,C,6,D
783,C,E,D,E,E,E,2,E
784,E,C,E,C,C,C,5,D
785,C,C,D,C,E,E,7,D
786,E,E,E,E,E,E,4,E
787,E,E,D,C,C,E,18,C
788,C,C,C,C,C,C,15,BC
789,E,D,C,D,E,E,9,D
790,E,E,D,E,D,D,13,D
791,E,E,C,E,E,C,12,D
792,C,D,E,D,E,E,10,D
793,C,E,E,E,E,C,13,D
794,E,D,E,E,E,C,4,E
795,C,E,D,C,E,C,3,D
796,E,E,E,C,E,D,7,D
797,D,C,D,D,E,D,9,D
798,E,E,E,E,E,E,16,D
799,E,D,E,E,E,E,14,D
800,D,D,E,E,E,C,12,D
801,E,E,D,E,D,C,10,D
802,E,C,E,E,E,E,5,E
803,D,E,E,C,E,E,3,E
804,E,E,E,E,D,C,13,D
805,E,C,D,E,D,E,9,D
806,E,E,E,D,C,E,13,D
807,E,E,E,C,E,E,4,E
808,E,C,E,E,C,E,8,D
809,E,E,D,D,E,E,3,E
810,C,E,D,C,E,E,2,D
811,D,D,E,E,E,D,13,D
812,E,E,E,D,D,E,4,E
813,D,E,E,C,E,E,2,E
814,E,E,E,E,E,E,1,E
815,E,C,D,E,C,E,16,D
816,E,C,D,C,D,C,3,D
817,C,E,D,E,E,E,15,D
818,E,E,E,E,C,E,12,D
819,E,E,E,E,E,E,3,E
820,D,C,D,D,E,D,17,C
821,C,D,E,D,E,E,8,D
822,E,E,E,E,C,C,17,D
823,C,C,E,D,E,C,16,D
824,E,C,D,D,E,E,16,D
825,E,D,C,E,D,E,5,D
826,E,E,E,E,C,E,18,D
827,E,E,E,E,D,E,2,E
828,D,C,C,C,C,D,4,C
829,C,C,E,E,D,D,8,D
830,E,C,E,E,C,E,6,D
831,D,E,E,E,D,E,4,E
832,E,E,C,E,C,E,18,C
833,E,C,D,E,E,E,16,D
834,C,C,E,E,D,E,16,D
835,C,E,C,E,E,C,14,C
836,D,E,E,E,C,D,16,D
837,C,E,E,E,D,C,12,D
838,E,C,E,E,E,D,14,D
839,C,E,E,D,D,D,16,D
840,D,E,E,D,C,E,10,D
841,E,E,E,E,C,E,2,E
842,E,D,D,E,E,C,5,D
843,C,E,D,E,E,D,15,D
844,E,E,E,C,C,C,5,D
845,E,D,C,E,E,E,14,D
846,E,D,E,C,E,E,12,D
847,E,C,E,C,E,D,9,D
848,D,D,D,E,D,C,4,D
849,E,E,C,D,D,E,16,C
850,E,D,E,E,D,E,8,E
851,C,D,D,D,D,C,6,D
852,D,E,E,D,C,E,5,D
853,E,C,D,E,E,E,17,D
854,E,E,E,C,E,C,9,D
855,C,E,C,E,D,C,9,D
856,C,E,E,C,D,E,15,D
857,D,E,E,C,E,C,3,D
858,E,E,C,C,C,C,5,C
859,C,E,D,E,E,E,15,D
860,D,E,E,E,E,D,1,E
861,D,E,C,E,D,C,18,C
862,E,E,E,C,E,E,5,E
863,E,E,D,C,E,E,8,D
864,C,D,D,E,D,E,8,D
865,D,E,D,E,C,E,3,D
866,C,E,E,E,E,E,8,E
867,E,E,E,E,C,D,13,D
868,E,C,E,D,D,E,4,E
869,D,E,C,E,D,C,16,C
870,E,E,D,E,D,E,10,D
871,C,D,D,E,D,E,16,D
872,E,D,D,D,E,D,11,D
873,C,E,E,E,D,E,6,E
874,E,C,D,E,E,D,7,D
875,E,D,E,E,D,E,3,E
876,E,E,E,E,D,C,15,D
877,E,C,C,C,D,E,9,C
878,E,D,E,E,E,E,15,D
879,C,D,C,E,E,D,14,C
880,E,E,E,E,E,E,1,E
881,E,E,D,C,E,C,13,D
882,E,E,D,E,C,E,10,D
883,E,E,E,E,E,E,1,E
884,E,E,E,D,C,C,5,D
885,E,E,E,C,E,D,5,D
886,C,E,C,E,C,E,2,D
887,E,E,E,E,E,E,17,D
888,C,E,C,E,D,E,1,D
889,E,E,C,E,C,D,1,D
890,C,E,D,C,E,D,16,C
891,E,E,E,E,D,D,5,E
892,C,E,D,C,D,C,3,D
893,C,E,C,C,D,C,9,C
894,E,E,C,D,E,E,7,D
895,C,C,D,C,C,C,2,D
896,C,C,E,C,D,E,6,D
897,E,D,D,E,C,D,14,D
898,E,D,E,E,C,C,10,D
899,E,E,D,D,C,C,15,C
900,E,E,D,C,E,D,7,D
901,E,C,E,E,E,C,13,D
902,C,C,E,E,E,E,3,E
903,E,E,E,C,C,E,12,D
904,E,E,E,E,E,E,13,D
905,C,D,C,E,E,C,10,D
906,D,D,E,C,C,E,3,D
907,E,E,D,C,E,E,14,D
908,C,C,D,D,C,E,14,C
909,C,D,D,C,C,E,5,D
910,D,C,E,C,C,E,15,D
911,D,E,D,E,E,C,14,D
912,C,C,C,E,D,E,5,D
913,D,D,C,E,E,E,2,D
914,C,C,D,E,C,E,17,C
915,C,E,E,E,E,E,1,E
916,E,D,E,E,C,C,11,D
917,E,E,E,E,E,C,9,D
918,E,C,D,E,D,E,12,D
919,E,D,D,E,D,E,13,D
920,D,C,E,E,C,C,3,D
921,E,D,E,E,E,C,14,D
922,D,E,D,D,E,D,3,D
923,D,C,E,D,D,C,15,D
924,E,C,C,C,D,E,17,C
925,C,D,E,D,E,C,16,D
926,E,E,D,E,D,C,11,D
927,E,E,E,C,E,E,5,E
928,E,D,E,D,D,D,3,E
929,D,E,D,E,D,C,14,D
930,D,E,C,C,E,D,3,D
931,D,D,E,E,C,E,18,D
932,D,E,C,E,E,C,18,C
933,E,E,E,E,E,E,18,D
934,E,E,D,E,C,E,3,D
935,D,C,D,C,E,E,15,D
936,E,D,E,D,C,E,1,E
937,E,E,C,E,E,D,18,C
938,E,E,C,D,C,D,9,C
939,D,E,E,E,E,C,14,D
940,D,E,E,C,E,D,12,D
941,E,C,C,E,E,E,5,D
942,C,E,D,E,C,E,15,D
943,D,C,E,C,D,D,4,D
944,C,E,E,E,C,C,13,D
945,E,E,E,C,C,E,4,D
946,E,C,C,D,E,E,16,C
947,E,E,C,D,C,D,4,D
948,C,E,E,C,E,E,1,E
949,D,E,D,E,D,D,3,D
950,E,C,E,E,C,E,5,E
951,C,E,C,E,D,E,16,C
952,E,E,E,C,C,D,13,D
953,D,E,C,E,D,C,2,D
954,E,E,C,D,E,E,9,D
955,D,E,E,D,C,C,16,D
956,E,E,D,E,E,E,5,E
957,C,D,D,C,E,E,16,C
958,C,E,E,E,C,D,4,D
959,E,C,C,E,C,E,11,D
960,D,E,E,C,D,C,8,D
961,C,E,E,C,C,D,1,D
962,C,C,C,D,D,C,15,C
963,E,D,E,C,E,C,2,D
964,E,D,E,E,D,C,15,D
965,E,D,D,C,C,C,14,C
966,E,E,C,E,C,E,14,C
967,E,D,D,E,C,D,15,D
968,E,C,D,E,E,D,13,D
969,E,E,D,D,D,D,15,D
970,D,D,D,E,D,E,8,D
971,E,D,E,E,E,C,11,D
972,E,D,E,C,D,D,7,D
973,D,E,E,E,E,D,9,E
974,E,C,D,D,E,E,9,D
975,E,E,E,D,C,E,13,D
976,E,D,C,E,E,E,1,D
977,E,E,D,C,E,D,10,D
978,E,D,E,E,D,C,11,D
979,D,E,E,E,C,D,9,D
980,C,E,C,E,C,C,17,C
981,E,E,E,C,E,E,10,D
982,E,C,E,E,E,D,18,D
983,D,D,E,C,D,C,16,C
984,D,E,D,E,C,D,5,D
985,C,E,D,D,E,C,9,D
986,D,D,E,D,D,E,6,D
987,C,E,E,E,D,E,5,E
988,C,C,C,E,D,C,2,D
989,C,E,C,E,D,E,15,C
990,D,E,E,D,D,E,12,D
991,E,E,D,D,E,D,14,D
992,E,D,C,E,E,C,7,D
993,E,E,E,D,D,C,11,D
994,D,E,E,E,D,D,14,D
995,C,E,E,D,D,E,8,D
996,D,C,E,E,E,C,11,D
997,E,C,E,E,E,D,8,E
998,C,E,E,E,E,E,13,D
999,C,E,D,D,C,E,6,D
1000,C,E,D,C,C,E,18,C
