id,mat100,mat103,stk201,kom101,mat219,jam_belajar,mat232
790,C,A,E,A,BC,15,E
791,A,A,BC,A,A,7,B
792,A,BC,A,A,BC,8,D
793,BC,BC,A,BC,A,4,A
794,A,BC,A,C,A,9,BC
795,A,A,A,A,A,15,AB
796,A,C,A,A,A,10,B
797,C,BC,BC,BC,BC,7,A
798,A,A,A,BC,B,4,D
799,BC,A,BC,A,A,15,E
800,A,BC,BC,BC,BC,10,BC
801,A,A,D,C,BC,15,E
802,A,A,BC,A,A,4,D
803,A,BC,A,A,C,4,D
804,A,A,AB,A,A,8,D
805,A,A,A,C,BC,14,AB
806,BC,A,A,AB,A,11,C
807,A,A,A,A,D,5,D
808,A,BC,A,C,A,4,D
809,BC,A,BC,C,A,15,E
810,BC,D,C,A,A,12,E
811,C,BC,BC,BC,C,10,C
812,A,AB,BC,BC,BC,16,E
813,A,C,BC,C,A,10,BC
814,A,A,BC,A,C,5,D
815,C,A,A,A,A,14,C
816,A,A,BC,A,E,11,B
817,A,A,A,A,A,11,AB
818,A,D,A,D,D,9,BC
819,A,BC,A,A,A,5,D
820,A,D,C,D,A,15,E
821,A,A,A,A,A,4,D
822,A,C,BC,C,A,5,BC
823,B,A,A,A,A,6,D
824,BC,A,BC,A,E,13,E
825,A,A,A,A,A,7,D
826,C,A,C,C,A,12,E
827,AB,BC,BC,A,A,14,E
828,A,B,A,C,BC,8,BC
829,E,A,A,BC,BC,10,C
830,C,A,D,BC,C,14,E
831,A,D,A,BC,A,15,AB
832,A,BC,BC,AB,A,15,E
833,A,BC,A,A,BC,13,AB
834,D,C,C,BC,C,5,A
835,A,BC,A,D,A,12,AB
836,BC,A,BC,A,C,14,E
837,B,C,A,BC,BC,6,A
838,BC,D,C,A,A,9,B
839,A,AB,A,A,BC,4,D
840,D,A,D,D,A,9,BC
841,A,BC,A,A,BC,16,AB
842,BC,A,A,A,A,6,A
843,BC,A,BC,D,A,8,BC
844,A,AB,BC,AB,A,15,E
845,D,C,B,BC,C,9,C
846,A,BC,A,BC,C,4,D
847,A,A,A,A,AB,13,AB
848,C,D,AB,A,AB,4,A
849,A,D,A,B,A,4,D
850,D,A,BC,C,C,6,A
851,A,C,A,C,BC,9,BC
852,A,D,A,A,BC,14,AB
853,D,BC,AB,BC,A,10,C
854,A,C,C,A,A,9,B
855,A,BC,A,A,A,11,AB
856,E,BC,A,A,A,15,C
857,A,A,BC,BC,C,9,BC
858,A,BC,BC,A,A,8,B
859,A,BC,A,B,C,5,D
860,A,A,A,C,D,10,BC
861,A,D,AB,BC,A,6,BC
862,A,BC,C,A,A,11,B
863,D,C,A,A,BC,15,C
864,A,C,A,BC,A,4,D
865,C,A,A,A,A,5,A
866,A,BC,E,A,A,9,B
867,A,C,BC,BC,BC,14,E
868,A,A,A,BC,A,5,D
869,A,A,BC,BC,A,14,E
870,A,A,C,BC,A,13,E
871,A,A,C,A,A,4,D
872,D,C,A,BC,C,14,C
873,A,C,A,C,A,13,AB
874,B,BC,BC,BC,A,7,BC
875,A,A,A,A,BC,7,D
876,C,BC,A,BC,A,4,A
877,D,A,C,BC,A,11,C
878,BC,A,A,BC,A,11,C
879,A,BC,A,BC,A,14,AB
880,A,A,A,BC,A,7,BC
881,A,C,E,A,A,11,B
882,C,A,A,A,A,7,A
883,D,B,D,A,BC,11,C
884,E,BC,D,BC,A,16,E
885,A,BC,BC,A,A,9,B
886,A,BC,A,BC,C,12,AB
887,A,AB,C,A,E,12,E
888,A,BC,B,A,BC,4,D
889,C,BC,D,A,A,16,E
890,C,C,A,A,A,11,C
891,A,BC,C,C,BC,8,BC
892,A,AB,D,A,A,7,B
893,BC,A,C,A,BC,6,A
894,BC,A,A,A,A,5,A
895,BC,A,A,A,A,13,C
896,C,C,A,A,A,7,A
897,A,A,A,BC,C,6,D
898,A,A,A,A,BC,13,AB
899,A,A,BC,C,AB,5,BC
900,C,A,D,E,AB,16,E
901,BC,A,A,C,C,15,AB
902,E,A,A,AB,A,7,A
903,C,A,A,D,A,4,A
904,A,C,BC,A,A,8,B
905,A,A,A,C,BC,15,AB
906,BC,BC,A,A,BC,6,A
907,AB,A,BC,A,BC,9,B
908,C,BC,D,A,A,15,E
909,BC,A,A,C,C,13,AB
910,BC,BC,BC,BC,A,8,BC
911,A,A,BC,A,A,7,B
912,A,BC,BC,A,D,8,B
913,A,A,A,D,BC,12,AB
914,A,A,C,C,C,7,BC
915,A,BC,A,A,BC,5,D
916,A,A,A,A,A,8,D
917,A,A,A,BC,A,5,D
918,BC,BC,BC,A,A,4,A
919,BC,A,BC,C,A,11,BC
920,A,D,A,A,A,4,D
921,A,C,A,A,A,11,AB
922,A,A,BC,A,C,4,D
923,A,A,C,A,C,9,B
924,BC,A,BC,BC,A,4,A
925,BC,A,A,C,A,16,AB
926,BC,D,BC,A,BC,7,B
927,A,A,BC,C,A,9,BC
928,AB,BC,BC,A,A,12,E
929,A,A,C,A,C,13,E
930,AB,BC,BC,A,A,8,B
931,A,D,A,C,D,14,AB
932,A,A,D,D,BC,7,BC
933,A,C,C,BC,A,10,BC
934,BC,BC,A,A,C,5,A
935,A,A,BC,A,E,4,D
936,A,A,BC,A,C,12,E
937,D,A,BC,A,C,13,C
938,D,A,BC,AB,C,7,A
939,D,A,A,A,BC,7,A
940,C,A,AB,BC,A,6,A
941,A,BC,A,A,A,16,AB
942,A,BC,A,A,A,7,D
943,C,A,A,A,C,15,C
944,C,A,BC,A,BC,16,E
945,D,A,A,BC,E,13,C
946,A,BC,A,AB,A,7,D
947,A,BC,A,C,BC,10,BC
948,C,BC,BC,A,E,9,B
949,A,A,D,BC,A,11,E
950,C,A,C,C,BC,10,BC
951,A,C,BC,C,BC,15,E
952,A,B,A,C,BC,6,D
953,D,BC,BC,A,A,16,E
954,A,A,A,C,BC,14,AB
955,BC,BC,A,D,BC,14,AB
956,D,A,BC,A,A,7,A
957,A,A,BC,A,BC,16,E
958,BC,BC,D,A,BC,15,E
959,BC,A,BC,BC,C,16,E
960,A,BC,C,D,A,4,BC
961,C,A,D,BC,C,7,A
962,C,C,E,BC,A,6,B
963,C,A,A,BC,BC,6,A
964,BC,A,A,B,D,5,A
965,BC,BC,A,BC,A,6,A
966,A,C,A,A,AB,16,AB
967,A,BC,BC,D,BC,16,E
968,D,D,A,A,BC,7,A
969,BC,BC,C,C,A,15,E
970,BC,D,C,A,BC,7,B
971,BC,BC,A,BC,C,13,C
972,C,BC,A,BC,A,15,AB
973,C,D,BC,BC,BC,4,A
974,E,A,A,AB,A,16,C
975,A,A,A,D,BC,5,D
976,BC,A,B,BC,D,16,E
977,A,D,BC,E,A,11,BC
978,BC,BC,A,A,C,8,A
979,D,BC,A,D,BC,4,A
980,BC,B,A,A,A,4,A
981,A,D,A,BC,A,6,D
982,BC,A,A,BC,A,4,A
983,C,A,BC,A,D,11,C
984,BC,E,A,BC,BC,16,AB
985,A,C,A,A,E,14,AB
986,A,A,BC,A,A,11,B
987,A,BC,E,AB,BC,6,B
988,A,A,BC,A,A,15,E
989,A,BC,C,B,C,10,B
990,A,A,A,BC,A,14,AB
991,A,BC,BC,A,AB,13,E
992,D,A,BC,A,C,4,A
993,AB,A,A,BC,BC,13,AB
994,A,A,C,A,A,12,E
995,A,BC,BC,A,A,12,E
996,BC,A,BC,A,C,8,B
997,A,A,A,A,BC,10,D
998,A,A,A,A,BC,15,AB
999,C,C,A,A,BC,8,A
1000,A,A,A,BC,A,10,BC
